Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2204725742340088,0.1733884811401367,0.3417587280273437,0.3244671821594238,9.5944584,6.5450912,0.0482086,103.87444496154784,732,750,225,A,374,377
2,0.2202229499816894,0.1725637912750244,0.330270767211914,0.2671985626220703,5.1951382,5.3611743,0.0971139,96.47604298591614,710,750,225,B,384,367
3,0.2338056564331054,0.2043094635009765,0.3306658267974853,0.2708859443664551,5.7544792,5.1955959,0.0946898,96.42925357818604,699,750,225,B,371,390
4,0.2183640003204345,0.1728253364562988,0.3320181369781494,0.2513577938079834,5.4680723,5.4882883,0.0684973,98.08443307876588,732,750,225,B,382,376
5,0.2200362682342529,0.1723074913024902,0.3134658336639404,0.2830598354339599,5.2147398,5.2745221,0.098416,96.33796620368958,720,750,225,B,393,374
6,0.2356917858123779,0.1714856624603271,0.3155629634857178,0.2504472732543945,5.5611224,5.3342022,0.0937272,99.64883255958556,739,750,225,A,392,381
7,0.2019803524017334,0.1886801719665527,0.3457136154174804,0.2488858699798584,5.5463267,5.3342661,0.0674294,97.60235071182252,731,750,225,B,373,379
8,0.2210128307342529,0.173004150390625,0.3451683521270752,0.2675716876983642,5.5045074,4.9805235,0.0892189,77.40924215316772,655,750,225,B,360,394
9,0.1848440170288086,0.1578941345214843,0.2677042484283447,0.2235784530639648,4.3438163,4.1606438,0.077995,77.12888598442078,703,750,225,B,362,375
10,0.1906025409698486,0.1573429107666015,0.2828261852264404,0.2047441005706787,4.1341889,4.2276365,0.0851494,74.1044716835022,680,750,225,A,358,376
11,0.1890344619750976,0.1421854496002197,0.2672975063323974,0.2201688289642334,4.3090024,4.4410904,0.0706126,77.96472096443176,718,750,225,A,375,385
12,0.1894350051879882,0.1573419570922851,0.2847890853881836,0.2202849388122558,4.0608557,4.3807131,0.0790968,73.96735262870789,676,750,225,A,362,385
13,0.1886513233184814,0.1741342544555664,0.2710630893707275,0.2368292808532714,4.516401,4.2622573,0.088172,83.14496445655823,683,750,225,A,385,368
14,0.2212889194488525,0.1878042221069336,0.2965295314788818,0.3064825534820556,5.2343097,4.6136585,0.0844633,95.34867715835573,687,750,225,B,361,383
15,0.2256994247436523,0.1725161075592041,0.3146533966064453,0.28070068359375,5.7131219,5.6888945,0.1103097,100.45589232444765,704,750,225,A,365,379
