Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.134214162826538,0.0847628116607666,0.1324949264526367,0.0822055339813232,0.2112013,0.1835948,0.0284125,3.8214149475097656,32,200,150,A,103,96
2,0.1320850849151611,0.0863375663757324,0.1327199935913086,0.0830800533294677,0.2468921,0.216535,0.0403183,2.965731143951416,2,200,150,B,104,106
3,0.1482768058776855,0.1002578735351562,0.1302263736724853,0.0830228328704834,0.2189788,0.246194,0.0327756,3.464954137802124,9,200,150,A,91,112
4,0.1811187267303466,0.099614143371582,0.1827828884124755,0.1202349662780761,0.4329981,0.2364414,0.038232,5.311434268951416,11,200,150,A,101,98
5,0.2036311626434326,0.0988483428955078,0.1675941944122314,0.0997419357299804,0.2257354,0.2035203,0.033323,3.800029754638672,12,200,150,A,97,93
6,0.1672346591949463,0.0994136333465576,0.1463861465454101,0.0826656818389892,0.2615919,0.2553949,0.0372665,4.150864362716675,24,200,150,A,101,100
7,0.2233498096466064,0.0971457958221435,0.15234375,0.0941948890686035,0.2961831,0.2615516,0.0346571,3.604861259460449,6,200,150,B,99,108
8,0.1731050014495849,0.0954968929290771,0.1513431072235107,0.10014009475708,0.2320617,0.2227315,0.0281531,3.482269525527954,5,200,150,B,103,96
9,0.1666376590728759,0.1047873497009277,0.1669807434082031,0.117145299911499,0.2442263,0.2700989,0.0,3.336089611053467,1,200,150,B,110,96
10,0.1666712760925293,0.1003704071044921,0.1489231586456298,0.0840210914611816,0.2847997,0.3030686,0.0306055,3.66219425201416,9,200,150,B,109,113
11,0.1668980121612548,0.098949909210205,0.1481938362121582,0.0935292243957519,0.2188538,0.2161452,0.0376625,3.5667989253997803,11,200,150,B,90,99
12,0.1666901111602783,0.0997650623321533,0.1614468097686767,0.0921499729156494,0.2420809,0.248573,0.0304524,3.984398603439331,21,200,150,A,100,110
13,0.1501939296722412,0.0979564189910888,0.1491987705230713,0.0837678909301757,0.3046913,0.2688949,0.0309342,4.116603851318359,14,200,150,B,112,118
14,0.1332507133483886,0.0828981399536132,0.1497535705566406,0.0835921764373779,0.209166,0.2172245,0.0285291,3.354345321655273,10,200,150,A,98,100
15,0.1533198356628418,0.1143710613250732,0.1838440895080566,0.0803554058074951,0.2600209,0.3148455,0.0343837,3.5002517700195312,3,200,150,A,96,113
