Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1472160816192627,0.0829529762268066,0.1504938602447509,0.0485072135925293,0.0579184,0.0549767,0.0,2.743229627609253,1,100,75,B,55,56
2,0.1495931148529052,0.083242654800415,0.1168861389160156,0.0671463012695312,0.0539856,0.0496162,0.0153416,2.93361759185791,9,100,75,B,49,52
3,0.1580233573913574,0.0853199958801269,0.1183819770812988,0.0512607097625732,0.0565477,0.0492935,0.0153662,2.79612398147583,11,100,75,A,50,51
4,0.1325550079345703,0.0834486484527587,0.1125721931457519,0.0504543781280517,0.0542614,0.0487252,0.021529,3.005983352661133,25,100,75,A,51,47
5,0.1561176776885986,0.1109271049499511,0.1377468109130859,0.0583400726318359,0.0676141,0.0500873,0.01619,3.511462450027466,5,100,75,A,64,47
6,0.1461169719696045,0.0830867290496826,0.1226837635040283,0.0532913208007812,0.0546213,0.0656388,0.0163856,3.4140419960021973,33,100,75,A,50,46
7,0.1639242172241211,0.0758225917816162,0.0996263027191162,0.0514290332794189,0.043449,0.0472308,0.0145654,2.9997365474700928,10,100,75,A,48,50
8,0.1328957080841064,0.0667746067047119,0.1060290336608886,0.0506937503814697,0.0447093,0.0492422,0.0175545,2.949750661849976,21,100,75,B,51,49
9,0.1322433948516845,0.0671572685241699,0.120596170425415,0.0499606132507324,0.0442527,0.0489696,0.0203133,2.6509459018707275,5,100,75,A,39,50
10,0.1500086784362793,0.0842249393463134,0.1187841892242431,0.0490508079528808,0.0426854,0.0627674,0.0168087,2.903409957885742,4,100,75,A,39,51
11,0.1456639766693115,0.0844254493713378,0.1029410362243652,0.0668601989746093,0.0559622,0.0629851,0.0160117,3.165841817855835,25,100,75,A,48,57
12,0.1623425483703613,0.0999248027801513,0.1213340759277343,0.0535750389099121,0.0440926,0.0682809,0.0177407,2.918220996856689,10,100,75,A,44,59
13,0.1197781562805175,0.083953857421875,0.1409010887145996,0.0605318546295166,0.0582086,0.0522814,0.018798,3.242050647735596,27,100,75,B,46,54
14,0.1346521377563476,0.0833618640899658,0.1156606674194336,0.0499742031097412,0.0417895,0.0411053,0.0218111,2.683438539505005,2,100,75,A,41,44
15,0.1359903812408447,0.085113525390625,0.101327896118164,0.049689769744873,0.0450198,0.0508468,0.0,2.6000657081604004,1,100,75,A,51,50
