Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2195851802825927,0.1002440452575683,0.152966022491455,0.0953114032745361,0.2455724,0.2346841,0.0305861,10.440958023071287,132,200,200,A,96,111
2,0.1536388397216797,0.100320816040039,0.1497652530670166,0.0832958221435546,0.2537927,0.222898,0.0298342,4.421235322952271,46,200,200,B,103,91
3,0.1764233112335205,0.1138343811035156,0.1466436386108398,0.0882506370544433,0.2209393,0.2805626,0.0283348,6.66191291809082,90,200,200,A,93,95
4,0.1681365966796875,0.0993032455444336,0.1504173278808593,0.0987799167633056,0.2007734,0.2181297,0.0323874,6.077441930770874,79,200,200,B,105,96
5,0.1867587566375732,0.1007850170135498,0.1765379905700683,0.0831766128540039,0.3846728,0.2467369,0.0504483,5.73414421081543,69,200,200,A,112,99
6,0.1648335456848144,0.0876543521881103,0.1305141448974609,0.0878329277038574,0.2172941,0.2122518,0.0276758,5.517353773117065,78,200,200,B,103,100
7,0.1508831977844238,0.1040689945220947,0.1308367252349853,0.08217453956604,0.2242269,0.2058198,0.0341888,5.996155738830566,88,200,200,B,95,105
8,0.1335408687591552,0.0872039794921875,0.1300289630889892,0.0814146995544433,0.2197871,0.1913106,0.0303158,4.931333541870117,54,200,200,B,93,105
9,0.2012221813201904,0.1001858711242675,0.1482806205749511,0.0872044563293457,0.2466249,0.1929,0.0360978,5.661411046981812,75,200,200,B,90,109
10,0.1614105701446533,0.1025230884552002,0.1656620502471923,0.0830855369567871,0.2339895,0.3463043,0.0263172,4.701048135757446,43,200,200,A,111,97
11,0.1494920253753662,0.0840730667114257,0.1336865425109863,0.0847721099853515,0.2286219,0.2524246,0.0355469,4.89984130859375,59,200,200,A,95,103
12,0.1504578590393066,0.0993182659149169,0.1343095302581787,0.1002190113067627,0.2194261,0.2572769,0.0330283,4.664771318435669,40,200,200,A,98,102
13,0.149975299835205,0.0999479293823242,0.1334459781646728,0.1001183986663818,0.2388839,0.2553337,0.0309862,4.753434896469116,43,200,200,B,100,98
14,0.1518552303314209,0.09993577003479,0.1327476501464843,0.1011655330657959,0.2416217,0.2111895,0.0509511,5.499566555023193,65,200,200,B,95,100
15,0.150068998336792,0.0956923961639404,0.1335434913635254,0.1001172065734863,0.2466394,0.2209631,0.0325711,4.462751865386963,40,200,200,A,100,97
