Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2681553363800049,0.21816086769104,0.4056406021118164,0.2110023498535156,4.7029556,4.4299497,0.0951924,72.56343126296997,575,750,75,A,389,374
2,0.2502150535583496,0.1831517219543457,0.3334238529205322,0.2001013755798339,4.4620166,4.5432578,0.0501904,79.04726648330688,698,750,75,B,383,373
3,0.2505216598510742,0.2165932655334472,0.3123233318328857,0.183194875717163,4.3616773,4.3934469,0.0694587,65.93908357620239,545,750,75,A,379,373
4,0.2668769359588623,0.1911571025848388,0.3990876674652099,0.2296197414398193,4.5218854,4.4647825,0.0681756,67.35952997207642,603,750,75,B,377,383
5,0.2260489463806152,0.1965365409851074,0.3815584182739258,0.1909770965576172,3.7259395,3.8339823,0.0722113,72.54036474227905,598,750,75,B,372,386
6,0.2201943397521972,0.1758995056152343,0.3458330631256103,0.1881542205810547,3.6849665,3.6937016,0.0693142,60.772767543792725,555,750,75,B,345,359
7,0.219834566116333,0.1728935241699218,0.3464512825012207,0.1896722316741943,3.9778144,4.0087526,0.06302,65.22203588485718,565,750,75,A,355,368
8,0.2367298603057861,0.1731972694396972,0.3138659000396728,0.1727566719055175,3.8801984,3.8308422,0.0908885,51.01569533348084,397,750,75,B,356,354
9,0.2206783294677734,0.2049815654754638,0.3140513896942138,0.1888575553894043,3.8361409,3.991655,0.0704233,63.484238624572754,554,750,75,A,364,371
10,0.2210667133331298,0.1722898483276367,0.3134074211120605,0.2044849395751953,4.5166483,4.0881435,0.0684689,68.82563591003418,615,750,75,A,394,377
11,0.2042686939239502,0.1741187572479248,0.2989015579223633,0.1874082088470459,3.6756199,4.0020651,0.2057299,61.16829776763916,534,750,75,B,383,347
12,0.2201042175292968,0.1918215751647949,0.3138830661773681,0.1887767314910888,4.0047266,3.9144668,0.057099,65.89043116569519,604,750,75,B,374,374
13,0.2039310932159423,0.1734638214111328,0.3170685768127441,0.173781156539917,4.1718299,4.0798993,0.0485535,71.45936036109924,676,750,75,A,383,378
14,0.2171363830566406,0.1881639957427978,0.2982757091522217,0.1849758625030517,4.2329976,4.1110239,0.0598496,70.2650773525238,635,750,75,B,382,389
15,0.2042887210845947,0.2042300701141357,0.314326524734497,0.1891331672668457,4.3873358,3.987508,0.0736421,68.21159958839417,605,750,75,B,367,388
