Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1331007480621338,0.082841157913208,0.1170978546142578,0.0499460697174072,0.0484661,0.0504953,0.0174704,3.4791834354400635,32,100,100,A,55,52
2,0.1155474185943603,0.0673818588256836,0.1000537872314453,0.0487575531005859,0.0368634,0.0420304,0.0131959,2.8758373260498047,20,100,100,A,40,43
3,0.1341607570648193,0.0706551074981689,0.1264441013336181,0.0498545169830322,0.0481063,0.0505359,0.013139,2.905283212661743,21,100,100,A,52,53
4,0.1335635185241699,0.058847427368164,0.1175329685211181,0.0497856140136718,0.0474534,0.0378193,0.016173,2.8876852989196777,21,100,100,A,50,38
5,0.1160156726837158,0.0664303302764892,0.0994434356689453,0.0496492385864257,0.0511851,0.0369491,0.0143664,2.9165353775024414,21,100,100,A,53,43
6,0.1162068843841552,0.0673542022705078,0.0993804931640625,0.0520501136779785,0.0450342,0.039662,0.0128548,2.8668763637542725,24,100,100,B,41,48
7,0.1414902210235595,0.0647296905517578,0.107940673828125,0.0627660751342773,0.0511244,0.0430064,0.0133792,3.042689800262451,26,100,100,A,53,51
8,0.138319730758667,0.084653615951538,0.1150343418121337,0.0498280525207519,0.0399345,0.0491681,0.0132088,2.9327280521392822,20,100,100,A,44,47
9,0.1325938701629638,0.0632424354553222,0.1003398895263671,0.049800157546997,0.0479019,0.0504982,0.0139328,3.0826587677001958,27,100,100,A,51,55
10,0.1157574653625488,0.0830955505371093,0.0998523235321044,0.0500307083129882,0.0452436,0.0463931,0.0142896,3.0521373748779297,32,100,100,A,48,50
11,0.1342160701751709,0.0676677227020263,0.0999083518981933,0.0491180419921875,0.0394011,0.0432474,0.0152721,2.7666406631469727,10,100,100,B,51,44
12,0.1167049407958984,0.0667507648468017,0.1166274547576904,0.0504851341247558,0.0422154,0.0422756,0.013486,3.0556740760803223,29,100,100,B,49,46
13,0.1343905925750732,0.0618565082550048,0.1158280372619628,0.0498089790344238,0.0488478,0.0462674,0.0150173,3.3490798473358154,45,100,100,B,50,48
14,0.116302490234375,0.0666542053222656,0.1000840663909912,0.0497632026672363,0.0437518,0.0480704,0.0144614,2.982123613357544,31,100,100,A,44,50
15,0.1154849529266357,0.067049503326416,0.1174356937408447,0.049851655960083,0.0442765,0.0364485,0.0139575,2.782843589782715,22,100,100,A,46,41
