Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2354500293731689,0.1966135501861572,0.3661670684814453,0.4621171951293945,5.3133564,5.4510808,0.1196868,22.41452169418335,61,750,563,A,345,357
2,0.2474176883697509,0.1838183403015136,0.3497107028961181,0.4647409915924072,5.7468748,5.4240906,0.1104149,17.318142890930176,19,750,563,B,362,392
3,0.3287765979766845,0.1880059242248535,0.3971269130706787,0.3806242942810058,4.5435732,5.074491,0.1057986,15.849953413009644,26,750,563,A,348,373
4,0.2278106212615966,0.1702914237976074,0.3212325572967529,0.4163136482238769,5.135819,5.4621544,0.0995921,27.19987654685974,118,750,563,B,397,381
5,0.2578301429748535,0.1902236938476562,0.3794643878936767,0.3439419269561767,5.1243874,5.2033144,0.1106083,29.564743757247925,125,750,563,A,376,351
6,0.2663764953613281,0.1986703872680664,0.3499696254730224,0.4501447677612304,5.6603343,5.8091433,0.1252612,17.04881477355957,15,750,563,B,380,383
7,0.2357783317565918,0.1815083026885986,0.3664975166320801,0.4499154090881347,5.2380315,5.5044604,0.1408599,14.954079627990724,4,750,563,A,350,375
8,0.2507128715515136,0.216280460357666,0.334139347076416,0.432647705078125,5.5955005,5.5657267,0.1311182,23.98182201385498,75,750,563,A,367,382
9,0.2658612728118896,0.1999871730804443,0.3338017463684082,0.4320030212402344,5.52773,5.5845349,0.1320479,16.818081617355347,16,750,563,B,382,374
10,0.2339510917663574,0.1990392208099365,0.3667669296264648,0.4332082271575928,5.9831315,5.3200591,0.1234348,16.79977059364319,16,750,563,B,367,399
11,0.2375614643096923,0.1834301948547363,0.3498303890228271,0.3998932838439941,5.7090119,5.8484539,0.1152272,16.02996587753296,8,750,563,B,389,385
12,0.2335007190704345,0.1994955539703369,0.3665721416473388,0.4495799541473388,5.458729,5.2038988,0.1797315,25.505735874176025,73,750,563,B,360,373
13,0.2335262298583984,0.1999354362487793,0.3502466678619385,0.4496717453002929,5.8182732,5.4102414,0.1141356,21.116078853607178,50,750,563,A,392,375
14,0.2334403991699218,0.1998927593231201,0.3325920104980469,0.4019265174865722,5.2925336,5.4891731,0.116206,15.182969808578491,7,750,563,B,380,365
15,0.2504596710205078,0.2005646228790283,0.3592400550842285,0.4399206638336181,5.1136504,5.8341876,0.1231815,18.666343927383423,34,750,563,B,408,357
