Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.204640388,0.189446449,0.3405056,0.559379339,9.6621949,9.0121485,0.1586179,70.40145636,281,1000,750,A,499,502
2,0.264679193,0.220807791,0.387030125,0.673471689,12.3568932,13.1873133,0.2912704,60.37528729,162,1000,750,B,511,487
3,0.234330416,0.225238562,0.402310848,0.753863335,12.8356265,11.793752,0.1811349,37.04427958,42,1000,500,A,521,501
4,0.265034199,0.296410322,0.537110329,0.728354931,10.5801932,9.2328011,0.1246186,28.46096396,33,1000,500,B,507,461
5,0.233506203,0.223689318,0.397461891,0.593835354,9.2951627,11.3610967,0.1581365,53.40169334,179,1000,500,B,507,513
6,0.280041456,0.253057241,0.425372362,0.659522533,11.358545,11.1510861,0.1566452,66.77507138,238,1000,750,B,481,515
7,0.263596058,0.208050013,0.749612093,1.074317455,28.8004736,27.3624902,0.148696,107.6904552,182,1000,500,B,493,511
8,0.250609159,0.247583628,0.468975544,0.797092199,12.5134189,12.0554294,0.1793157,32.78692508,23,1000,500,A,512,495
9,0.31854248,0.27327323,0.490209818,0.748379707,11.5179095,31.6063894,0.4235281,78.5181644,64,1000,500,A,467,509
10,0.274640083,0.234057665,0.469574928,0.669863701,26.3201299,31.3805104,0.5273087,99.65070987,78,1000,500,B,470,502
11,0.241400719,0.225082636,0.345690012,0.611082792,25.4257149,30.8465611,0.4962647,108.3311963,101,1000,500,A,518,505
12,0.282335043,0.254302263,0.410779476,0.708842278,12.6969839,12.6008219,0.1595407,84.84326458,329,1000,750,A,499,519
13,0.248953342,0.217206478,0.361724377,0.564750195,26.0512851,33.5882383,0.5141776,93.63864708,74,1000,500,A,498,508
14,0.247632265,0.225572348,0.363372803,0.652545452,26.9050926,33.1163712,0.52827,80.90766907,35,1000,500,A,487,502
15,0.218066931,0.25378108,0.360775709,0.766489029,26.9585463,26.8294291,0.5089108,104.5345843,99,1000,500,B,473,503
