Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1955587863922119,0.1466212272644043,0.2162530422210693,0.2764465808868408,1.9896904,2.4642749,0.0844339,9.158927202224731,14,500,250,A,231,258
2,0.2001454830169677,0.1668610572814941,0.2168226242065429,0.2003567218780517,2.1442528,2.0242778,0.0726302,7.649268865585327,5,500,250,B,249,246
3,0.2009139060974121,0.1500298976898193,0.2778811454772949,0.2001354694366455,2.2073687,2.4433421,0.0914495,7.883025169372559,2,500,250,A,262,257
4,0.2000331878662109,0.1504497528076172,0.250185489654541,0.2164804935455322,2.2073494,2.1322684,0.0827455,7.933080434799194,7,500,250,B,257,267
5,0.1961307525634765,0.1498651504516601,0.2334413528442382,0.1834099292755127,1.8378086,2.0519922,0.086507,7.282805919647217,5,500,250,B,251,241
6,0.2147412300109863,0.1345167160034179,0.2324805259704589,0.1834769248962402,2.1324848,1.9891427,0.0805815,7.33304238319397,2,500,250,A,258,243
7,0.2162294387817382,0.166743516921997,0.2477874755859375,0.2002925872802734,2.0111636,2.1377113,0.0,7.358620166778564,1,500,250,B,257,245
8,0.2039515972137451,0.1560688018798828,0.2334570884704589,0.2172863483428955,1.981693,1.9375347,0.0755303,7.699439287185669,8,500,250,A,250,240
9,0.2004079818725586,0.1481151580810547,0.233102798461914,0.2001919746398925,1.9512596,1.9651809,0.0858392,7.309051036834717,4,500,250,A,248,239
10,0.2164530754089355,0.1665747165679931,0.2173655033111572,0.2143580913543701,2.180871,2.0266952,0.0896485,7.566229581832886,2,500,250,A,254,269
11,0.2453577518463134,0.1495537757873535,0.249561071395874,0.1990993022918701,1.9425238,2.0445201,0.0790975,7.686386346817017,8,500,250,B,250,244
12,0.1997866630554199,0.1499242782592773,0.2215862274169922,0.1993987560272216,2.0557464,1.9651443,0.0787062,7.699317693710327,7,500,250,A,259,244
13,0.1993682384490966,0.1336944103240966,0.2335317134857177,0.1988463401794433,1.9358125,2.0951969,0.097481,7.449325084686279,4,500,250,B,268,244
14,0.233076810836792,0.1510920524597168,0.232222318649292,0.2174363136291504,1.8261756,1.9388795,0.0825068,7.056527137756348,2,500,250,B,238,235
15,0.2010462284088134,0.137380838394165,0.2551569938659668,0.182621955871582,2.0052927,2.1091715,0.0863838,7.816716909408569,8,500,250,A,258,258
