Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.3158276081085205,0.2358691692352295,0.4627401828765869,0.6885285377502441,14.0044173,13.2464664,0.0906615,208.25778031349185,997,1000,300,A,504,507
2,0.2372488975524902,0.256392240524292,0.3474562168121338,0.4077737331390381,13.2164702,13.8629138,0.1348795,199.49120259284973,928,1000,300,A,496,524
3,0.2606229782104492,0.2412154674530029,0.4830443859100342,0.4134755134582519,12.9127042,12.4097082,0.1197829,191.725638628006,961,1000,300,A,517,507
4,0.2945146560668945,0.2373580932617187,0.4387228488922119,0.4299783706665039,11.95204,12.6016183,0.1595891,184.99767398834229,958,1000,300,B,530,491
5,0.2621469497680664,0.239736795425415,0.4008975028991699,0.4004058837890625,13.334309,12.1291523,0.1399422,190.97611594200131,957,1000,300,B,499,521
6,0.2822980880737304,0.2828426361083984,0.4807448387145996,0.3723325729370117,12.6222796,13.8598996,0.1092462,191.62471556663516,957,1000,300,A,496,489
7,0.267221450805664,0.2537856101989746,0.5221989154815674,0.4131677150726318,12.1704282,14.0363369,0.1311369,200.4900119304657,989,1000,300,B,507,519
8,0.244774580001831,0.236574649810791,0.4019663333892822,0.3725354671478271,12.6461471,12.2178841,0.1473898,185.52229285240173,935,1000,300,B,486,495
9,0.2677955627441406,0.2198548316955566,0.3576202392578125,0.3987524509429931,14.4769994,11.9167634,0.1210291,185.7902548313141,964,1000,300,B,501,493
10,0.2724568843841553,0.2486453056335449,0.410837173461914,0.430957555770874,11.5861211,11.5546223,0.0638182,217.5509305000305,954,1000,300,B,488,486
11,0.2491781711578369,0.211836576461792,0.4194583892822265,0.3525080680847168,10.207551,10.5443094,0.0790254,154.71231031417847,974,1000,300,B,502,495
12,0.2818360328674316,0.2341058254241943,0.4802350997924804,0.444019079208374,18.4311583,30.8205116,0.0568278,260.5468578338623,948,1000,300,A,482,484
13,0.2826859951019287,0.226017951965332,0.3475542068481445,0.385906457901001,12.8611669,12.5049532,0.1156259,188.9722344875336,978,1000,300,A,501,518
14,0.3221325874328613,0.2303216457366943,0.4191668033599853,0.43536376953125,12.3452553,11.8928523,0.0870798,176.04030442237854,943,1000,300,B,484,495
15,0.2904634475708008,0.2250618934631347,0.3969969749450683,0.3577170372009277,10.3570925,11.4128976,0.1336389,219.2347359657288,976,1000,300,B,518,511
