Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1596574783325195,0.1019637584686279,0.1803779602050781,0.0944695472717285,0.5453617,0.5199886,0.0471924,4.58081316947937,17,300,90,B,158,149
2,0.1445264816284179,0.112208604812622,0.15104341506958,0.124652624130249,0.6338396,0.5062222,0.0371675,14.374473810195925,233,300,90,A,163,135
3,0.1724493503570556,0.1037158966064453,0.1572403907775879,0.1129205226898193,0.5614422,0.4973503,0.0316686,14.234597206115724,241,300,90,A,148,130
4,0.1454310417175293,0.0950932502746582,0.125166654586792,0.078418493270874,0.4605734,0.4177206,0.0423071,13.579321384429932,245,300,90,B,138,162
5,0.154062271118164,0.0973155498504638,0.1992580890655517,0.155163288116455,0.5496272,0.4925943,0.0324766,12.665621757507324,233,300,90,B,148,151
6,0.1424498558044433,0.1143791675567627,0.1776609420776367,0.1059346199035644,0.5221081,0.5015737,0.0319152,15.062049388885498,257,300,90,A,149,139
7,0.1594700813293457,0.1068272590637207,0.1576828956604004,0.1106913089752197,0.5508296,0.5120245,0.0326275,15.36078953742981,269,300,90,B,146,163
8,0.1888189315795898,0.1103706359863281,0.1570672988891601,0.0942099094390869,0.5793977,0.5881279,0.030702,16.34307885169983,294,300,90,A,164,162
9,0.141373872756958,0.1107079982757568,0.1880176067352295,0.0951864719390869,0.532631,0.5344738,0.0342102,14.733691692352297,255,300,90,B,148,156
10,0.1512558460235595,0.1027824878692627,0.1562938690185547,0.0942404270172119,0.5254525,0.5091196,0.0272484,15.727173805236816,271,300,90,A,155,148
11,0.1728150844573974,0.1100473403930664,0.1414299011230468,0.1022515296936035,0.5309222,0.5487222,0.0437622,7.3778746128082275,81,300,90,A,144,157
12,0.1516010761260986,0.0954313278198242,0.1413817405700683,0.1100974082946777,0.5095314,0.5194811,0.0314742,14.625056505203249,248,300,90,A,148,153
13,0.1574633121490478,0.1100931167602539,0.1566896438598632,0.0945363044738769,0.5183357,0.5467398,0.028129,14.27755880355835,274,300,90,B,152,148
14,0.1609747409820556,0.1543416976928711,0.2385008335113525,0.1106824874877929,0.5723821,0.5174701,0.0194335,15.614495038986206,303,300,90,B,159,161
15,0.1473212242126464,0.1011497974395752,0.1998522281646728,0.1194672584533691,0.5333415,0.4249496,0.0210361,13.27472186088562,257,300,90,B,137,148
