Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1335418224334716,0.0838983058929443,0.1293723583221435,0.0683174133300781,0.1829989,0.161836,0.0200717,6.983405351638794,161,200,60,A,109,94
2,0.1388289928436279,0.0872964859008789,0.1305794715881347,0.0999119281768798,0.1564016,0.1690668,0.0118614,7.449615478515625,158,200,60,A,88,100
3,0.1486003398895263,0.1009807586669921,0.1513547897338867,0.0830976963043212,0.2301757,0.2308145,0.0239013,8.761545181274414,182,200,60,A,102,110
4,0.1502189636230468,0.0993571281433105,0.1340165138244629,0.0849447250366211,0.1675117,0.2209789,0.0304995,6.433794260025024,104,200,60,A,75,102
5,0.1666252613067627,0.0993847846984863,0.149824857711792,0.0811660289764404,0.2065778,0.1876041,0.0103629,8.120067834854126,171,200,60,A,94,94
6,0.1995472908020019,0.1177899837493896,0.1463932991027832,0.083669900894165,0.1974745,0.2478416,0.0337334,6.881953001022339,120,200,60,A,89,107
7,0.1668095588684082,0.0999994277954101,0.1495406627655029,0.083665132522583,0.2565019,0.3688528,0.016839,9.61674737930298,197,200,60,B,107,109
8,0.1671783924102783,0.1005213260650634,0.1501233577728271,0.0826632976531982,0.1854041,0.2107946,0.0177818,8.451442003250122,177,200,60,B,100,99
9,0.16693115234375,0.0997896194458007,0.1499481201171875,0.0832557678222656,0.1992866,0.2169746,0.017935,8.09967827796936,170,200,60,B,99,94
10,0.1954638957977295,0.0999500751495361,0.2487249374389648,0.1150741577148437,0.2847319,0.4207574,0.0227041,10.048341274261476,160,200,60,B,95,91
11,0.1573405265808105,0.0808088779449462,0.1499679088592529,0.0825707912445068,0.2189152,0.1828114,0.0208217,9.581938743591309,169,200,60,B,93,98
12,0.2174766063690185,0.2138283252716064,0.2014544010162353,0.1873679161071777,0.4443255,0.3623464,0.0201662,11.002543926239014,182,200,60,A,100,108
13,0.1384425163269043,0.0879714488983154,0.1305685043334961,0.0794229507446289,0.1909065,0.1794089,0.0303316,3.882582902908325,31,200,60,A,93,101
14,0.1530904769897461,0.0830793380737304,0.1639261245727539,0.0876948833465576,0.189015,0.1814885,0.0199055,8.014934539794922,171,200,60,A,101,98
15,0.1650919914245605,0.0963606834411621,0.1502265930175781,0.0898470878601074,0.1781751,0.1943488,0.0196892,7.85127329826355,166,200,60,A,97,104
