Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2669899463653564,0.1999261379241943,0.3496856689453125,0.5330016613006592,5.3223024,5.344368,0.1381834,34.6819486618042,159,750,750,B,370,367
2,0.2499566078186035,0.1985681056976318,0.3660140037536621,0.5165793895721436,5.4674941,5.5610258,0.1218621,38.3815758228302,188,750,750,B,393,366
3,0.2334978580474853,0.2162446975708007,0.3507068157196045,0.5487575531005859,5.979883,5.4488042,0.1136477,45.96575331687927,245,750,750,B,381,399
4,0.249946117401123,0.1836278438568115,0.3668687343597412,0.5280497074127197,5.8219564,5.5028093,0.1271275,40.54073667526245,209,750,750,B,383,412
5,0.315040111541748,0.3287727832794189,0.4904477596282959,0.8303916454315186,5.9465016,5.4592851,0.1206897,43.6528263092041,220,750,750,A,382,380
6,0.23317551612854,0.1885046958923339,0.3511672019958496,0.4838931560516357,5.4241899,5.0112566,0.0999014,41.70084547996521,244,750,750,B,362,381
7,0.2165007591247558,0.1650288105010986,0.3156709671020508,0.4330146312713623,4.4318014,4.4521034,0.0996503,30.349576711654663,176,750,750,B,378,373
8,0.252798318862915,0.1903126239776611,0.3509736061096191,0.4490180015563965,4.9477153,5.0121783,0.1066948,25.53476047515869,111,750,750,A,380,368
9,0.1885380744934082,0.160179853439331,0.3055357933044433,0.5282588005065918,4.5472493,4.5108281,0.1106185,28.95402479171753,153,750,750,A,377,373
10,0.2111239433288574,0.1830325126647949,0.3791236877441406,0.4630179405212402,5.4783058,4.6301966,0.110083,52.22533106803894,353,750,750,A,401,373
11,0.2321679592132568,0.1853210926055908,0.3315250873565674,0.4830529689788818,5.422876,5.0510362,0.1148361,34.05081486701965,156,750,750,A,382,390
12,0.2455120086669922,0.1999597549438476,0.3498430252075195,0.5335721969604492,4.763226,5.0649168,0.1142291,35.90959143638611,183,750,750,A,339,364
13,0.2696413993835449,0.1826951503753662,0.3506028652191162,0.5470759868621826,5.4649089,4.9832992,0.1254614,25.69799304008484,94,750,750,B,354,382
14,0.2327485084533691,0.1834371089935302,0.3502745628356933,0.4993789196014404,5.4548723,5.1483608,0.1267747,30.16978144645691,131,750,750,A,391,364
15,0.2333784103393554,0.1788728237152099,0.333989143371582,0.4998853206634521,5.8030146,5.5184789,0.1225644,54.88047909736633,329,750,750,B,387,388
