Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.249954462,0.219033957,0.361417532,0.86166954,12.0510638,11.8164445,0.1786876,84.77000809,317,1000,1000,A,508,525
2,0.289522886,0.267622948,0.475203991,0.836934328,9.7336286,10.8207073,0.1747545,65.7094388,233,1000,1000,A,475,488
3,0.264854431,0.247730732,0.410192251,0.870408297,24.4856198,31.7759372,0.4508555,202.8411624,313,1000,1000,A,513,512
4,0.234472036,0.193711042,0.361931801,0.708771229,26.3275535,30.6460671,0.5540683,221.1417313,356,1000,1000,A,515,483
5,0.233181238,0.201212168,0.337131739,0.686360359,24.2054542,29.3861678,0.4847376,154.8045461,215,1000,1000,A,496,536
6,0.242320299,0.225861549,0.395293236,0.858798027,25.8920489,31.3867417,0.3959275,151.8175061,211,1000,1000,B,495,483
7,0.217982292,0.189144611,0.368588448,0.676865578,18.80374,27.7027263,0.3893253,221.0082562,405,1000,1000,B,506,465
8,0.235107422,0.194018364,0.314136505,0.620989561,18.8397491,26.4736556,0.4341901,206.2330139,364,1000,1000,B,479,488
9,0.237606287,0.230185747,0.340534925,0.644943953,21.4324443,10.70886,0.1249166,77.32948971,316,1000,1000,B,505,513
10,0.241798639,0.176935434,0.331017256,0.661774158,8.7498256,8.679087,0.1246121,45.68696785,192,1000,1000,A,497,502
11,0.233636141,0.200830936,0.314526558,0.651741028,8.3750747,8.3388861,0.1396973,49.06393743,221,1000,1000,A,475,482
12,0.22649312,0.186583757,0.34895587,0.720549822,8.6608261,8.5582442,0.1152778,53.20283484,255,1000,1000,B,492,509
13,0.214343071,0.322946548,0.334513903,0.652303457,9.3616874,8.733309,0.1391044,60.97923112,301,1000,1000,A,545,514
14,0.221152306,0.187533379,0.316120625,0.644806862,9.3282526,9.0458367,0.1276015,72.30762625,367,1000,1000,B,482,514
15,0.226232767,0.17787385,0.327370882,0.647093058,8.7738063,8.5916199,0.1286936,74.62006903,418,1000,1000,B,508,498
