Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1491336822509765,0.0942461490631103,0.1339483261108398,0.0837774276733398,0.2427801,0.2073352,0.032054,3.37830662727356,3,200,100,A,113,89
2,0.163755178451538,0.0998966693878173,0.1640942096710205,0.0825767517089843,0.2379315,0.2636824,0.0,4.747793436050415,1,200,100,B,102,95
3,0.1650135517120361,0.0997707843780517,0.2329888343811035,0.0804522037506103,0.3384231,0.3040969,0.0,3.6013052463531494,1,200,100,B,103,105
4,0.1676831245422363,0.1000053882598877,0.1347227096557617,0.0829470157623291,0.248289,0.2602917,0.0,3.36629319190979,1,200,100,A,99,111
5,0.1717753410339355,0.0991733074188232,0.1520726680755615,0.0838813781738281,0.2704771,0.2499558,0.0333997,3.412991762161255,6,200,100,B,96,111
6,0.1514620780944824,0.0833821296691894,0.1502377986907959,0.0835530757904052,0.2294395,0.245939,0.0330668,3.1992225646972656,2,200,100,A,98,104
7,0.1496763229370117,0.0861473083496093,0.1338367462158203,0.0802218914031982,0.2765713,0.212142,0.039718,4.499580383300781,42,200,100,A,109,91
8,0.1501996517181396,0.1011798381805419,0.1496360301971435,0.0841298103332519,0.2014294,0.2211352,0.0385324,3.3498451709747314,8,200,100,A,84,94
9,0.1678900718688964,0.100574254989624,0.1331429481506347,0.0844485759735107,0.2288765,0.1934843,0.0,3.0861034393310547,1,200,100,A,102,90
10,0.1498754024505615,0.1003758907318115,0.1496839523315429,0.08327317237854,0.2518052,0.2264286,0.0337921,3.699718952178955,12,200,100,A,112,96
11,0.1667020320892334,0.1002900600433349,0.1498527526855468,0.0827686786651611,0.2458777,0.3003205,0.039335,3.3320975303649902,2,200,100,A,95,101
12,0.167309284210205,0.0993766784667968,0.1507244110107422,0.0834021568298339,0.2493482,0.2228139,0.0,3.352344512939453,1,200,100,A,98,103
13,0.1647412776947021,0.1183798313140869,0.1496152877807617,0.0995304584503173,0.271191,0.2512799,0.0286034,3.5045173168182373,5,200,100,A,99,94
14,0.1502714157104492,0.0991809368133544,0.1335132122039795,0.0828237533569336,0.203594,0.1703676,0.0172357,7.36741828918457,163,200,100,A,99,88
15,0.1331532001495361,0.0829160213470459,0.1327795982360839,0.082975149154663,0.1804001,0.2066393,0.0319649,3.099743366241455,3,200,100,A,90,101
