Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1091861724853515,0.0596990585327148,0.0796921253204345,0.0278894901275634,0.0059889,0.0064281,0.0061286,2.195096254348755,5,50,15,B,21,21
2,0.1025679111480712,0.0681562423706054,0.1019339561462402,0.0571472644805908,0.0104057,0.0089686,0.0045561,2.244218587875366,21,50,15,A,31,21
3,0.1049716472625732,0.0636360645294189,0.0646774768829345,0.0305066108703613,0.0076826,0.0081689,0.0019515,2.3798646926879883,40,50,15,A,28,31
4,0.1088902950286865,0.0634362697601318,0.0802910327911377,0.0314264297485351,0.0068181,0.0102369,0.0060204,2.1476054191589355,4,50,15,B,26,25
5,0.099363088607788,0.0642595291137695,0.0637133121490478,0.0313556194305419,0.0076505,0.0085628,0.0053989,2.2428629398345947,24,50,15,A,25,36
6,0.0898232460021972,0.0670151710510253,0.0604841709136962,0.0328967571258544,0.0067709,0.0062279,0.003034,2.1044087409973145,23,50,15,A,24,20
7,0.0983309745788574,0.0637249946594238,0.0600275993347168,0.032142162322998,0.0081786,0.0073646,0.0057073,2.025045394897461,11,50,15,A,27,24
8,0.1110610961914062,0.0680766105651855,0.0671322345733642,0.0329854488372802,0.0085437,0.0092481,0.0034158,2.357685804367065,36,50,15,A,28,30
9,0.1128745079040527,0.0626082420349121,0.0627248287200927,0.0319275856018066,0.0067868,0.00717,0.003024,2.433159112930298,34,50,15,B,27,26
10,0.1082339286804199,0.06168794631958,0.0630636215209961,0.0296676158905029,0.0081453,0.0061337,0.0032844,2.22944712638855,25,50,15,A,26,22
11,0.1001381874084472,0.0647451877593994,0.0633015632629394,0.0310134887695312,0.0077489,0.0096645,0.0068121,2.181966543197632,20,50,15,A,22,30
12,0.096381664276123,0.0637602806091308,0.0631523132324218,0.0310347080230712,0.0053911,0.0083707,0.0066095,2.1398541927337646,2,50,15,B,30,20
13,0.0957310199737548,0.0485672950744628,0.0618691444396972,0.0242483615875244,0.0105028,0.0082833,0.0053013,2.135414123535156,19,50,15,A,26,26
14,0.1088960170745849,0.0594043731689453,0.0790512561798095,0.0317897796630859,0.0094732,0.0081585,0.007138,2.166282415390014,3,50,15,A,27,24
15,0.1068987846374511,0.06425142288208,0.063218355178833,0.0472364425659179,0.0063984,0.0069443,0.0065988,2.1411402225494385,8,50,15,B,23,21
