Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1872954368591308,0.1360745429992675,0.2098209857940673,0.3896965980529785,0.7017196,0.6444948,0.0832043,7.849530458450317,48,300,225,A,156,147
2,0.1973333358764648,0.132688283920288,0.1880552768707275,0.1422963142395019,0.7407265,0.6144623,0.0508934,4.732577323913574,6,300,225,A,155,144
3,0.166543960571289,0.1159541606903076,0.1837499141693115,0.1491379737854004,0.5435463,0.6237867,0.0476164,4.5345869064331055,9,300,225,A,136,155
4,0.1668801307678222,0.1165342330932617,0.1826395988464355,0.1335799694061279,0.6307853,0.6129854,0.0467509,4.932771682739258,15,300,225,A,150,158
5,0.155299425125122,0.1471796035766601,0.18379807472229,0.1332378387451172,0.5673097,0.6152797,0.0457908,4.26619029045105,5,300,225,A,147,158
6,0.1861920356750488,0.1197483539581298,0.1833744049072265,0.1329741477966308,0.6429129,0.5850623,0.0514283,4.516494989395142,7,300,225,A,156,150
7,0.1851961612701416,0.1180238723754882,0.1998677253723144,0.1338207721710205,0.7072392,0.7194281,0.0693348,6.552956581115723,39,300,225,B,165,157
8,0.1663641929626464,0.1166605949401855,0.1674494743347168,0.116891860961914,0.6279565,0.5633981,0.0459526,4.316239833831787,5,300,225,B,139,150
9,0.1826899051666259,0.1374404430389404,0.1660218238830566,0.1106841564178466,0.5976817,0.58272,0.051754,4.317976474761963,5,300,225,A,151,144
10,0.1985111236572265,0.1323895454406738,0.1823906898498535,0.1167464256286621,0.6019749,0.645044,0.0568416,7.516016483306885,67,300,225,A,147,164
11,0.1829664707183838,0.1166424751281738,0.1835911273956298,0.1173691749572753,0.5636361,0.5200917,0.0601573,4.653364419937134,18,300,225,A,138,133
12,0.1637146472930908,0.1168203353881836,0.1703250408172607,0.1334409713745117,0.5486627,0.6311494,0.053212,4.78229284286499,14,300,225,B,155,140
13,0.1451873779296875,0.116079568862915,0.1848294734954834,0.1332101821899414,0.657219,0.5531722,0.0509108,5.81521463394165,35,300,225,A,161,144
14,0.1668047904968261,0.1001992225646972,0.1651103496551513,0.1158802509307861,0.6272317,0.5698551,0.0529168,5.599736928939819,33,300,225,B,151,158
15,0.1667306423187255,0.1162786483764648,0.1840267181396484,0.115938663482666,0.6005759,0.542503,0.0528162,4.718453407287598,14,300,225,A,142,148
