Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.306758165359497,0.252817153930664,0.4794378280639648,0.369638442993164,9.8557307,9.6366822,0.1074338,132.5805675983429,824,1000,100,B,518,522
2,0.2830977439880371,0.2497122287750244,0.4001426696777344,0.2662355899810791,8.7950849,9.2022901,0.057901,122.46722984313963,894,1000,100,B,488,476
3,0.2346465587615966,0.2047863006591797,0.3671298027038574,0.2314202785491943,10.4860191,13.319501,0.1867431,141.53698325157166,768,1000,100,B,513,496
4,0.272179365158081,0.2200357913970947,0.3613150119781494,0.274803876876831,9.9525544,10.2771438,0.1458761,130.305983543396,687,1000,100,A,507,483
5,0.3167493343353271,0.2044243812561035,0.4016599655151367,0.2807009220123291,10.6746361,10.0836662,0.0826913,157.7556071281433,882,1000,100,B,509,514
6,0.2808675765991211,0.247870922088623,0.4690532684326172,0.3088886737823486,9.6762543,9.6964406,0.0819062,142.1173448562622,858,1000,100,B,508,493
7,0.2741148471832275,0.2206742763519287,0.3860900402069092,0.2548747062683105,9.81764,9.2629387,0.1818202,127.3523886203766,749,1000,100,A,498,488
8,0.251117467880249,0.2499911785125732,0.4283945560455322,0.2847743034362793,8.5686766,9.0153589,0.107461,130.0921814441681,780,1000,100,B,501,479
9,0.2425544261932373,0.2513680458068847,0.3902981281280517,0.2835800647735595,9.845962,9.4991123,0.104816,125.51952528953552,693,1000,100,B,495,509
10,0.2755706310272217,0.2277791500091552,0.3555421829223633,0.2881684303283691,8.8916495,9.2620119,0.1243604,130.90413284301758,744,1000,100,B,487,477
11,0.2407634258270263,0.2035307884216308,0.3933753967285156,0.2826724052429199,8.9169993,10.5638489,0.1168157,128.67269015312195,716,1000,100,B,522,478
12,0.4394776821136474,0.2789177894592285,0.4210448265075683,0.3518521785736084,10.7320626,10.1359127,0.0723502,147.69476318359375,899,1000,100,B,491,520
13,0.2676072120666504,0.2826454639434814,0.4183015823364258,0.2835235595703125,10.5806013,10.7357751,0.1315224,134.42578864097595,743,1000,100,B,526,515
14,0.267338752746582,0.2085459232330322,0.3576693534851074,0.2677419185638428,8.845199,9.5357132,0.0201156,145.3925220966339,961,1000,100,A,492,489
15,0.2746851444244385,0.2191441059112548,0.4103496074676513,0.3039851188659668,10.3426694,9.1151769,0.1271068,125.72011303901672,735,1000,100,A,492,493
