Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1325762271881103,0.0834362506866455,0.100576639175415,0.0499629974365234,0.0320528,0.0402908,0.0114275,2.983356714248657,27,100,30,A,41,48
2,0.1331076622009277,0.0670168399810791,0.1156649589538574,0.0504884719848632,0.0310412,0.0344763,0.0104888,3.283790349960327,60,100,30,B,48,43
3,0.1321237087249755,0.0840327739715576,0.1280946731567382,0.0501761436462402,0.04886,0.0474428,0.0131996,3.954458475112915,78,100,30,B,54,57
4,0.1328082084655761,0.0816636085510253,0.2001059055328369,0.0799086093902587,0.114127,0.1230469,0.114807,3.451513290405273,3,100,30,B,47,53
5,0.1353135108947754,0.0829112529754638,0.1179513931274414,0.0500702857971191,0.0459949,0.0456382,0.0242196,3.2924611568450928,27,100,30,A,55,60
6,0.1305713653564453,0.0664148330688476,0.1159615516662597,0.0495111942291259,0.0417364,0.0417039,0.013188,2.93717098236084,19,100,30,B,51,53
7,0.1390974521636963,0.1047582626342773,0.1281547546386718,0.0456588268280029,0.0499553,0.0290062,0.0161954,3.346649169921875,21,100,30,A,55,38
8,0.1691865921020507,0.085787296295166,0.1350581645965576,0.0507929325103759,0.0335326,0.0326603,0.011535,3.7904820442199703,72,100,30,A,42,48
9,0.1153743267059326,0.0690488815307617,0.1050558090209961,0.0567388534545898,0.0513689,0.0536966,0.0090532,3.852159976959229,93,100,30,A,56,55
10,0.125054121017456,0.0681140422821044,0.1499664783477783,0.0467491149902343,0.0396448,0.0397789,0.0125398,3.4348926544189453,50,100,30,A,47,48
11,0.1375763416290283,0.0838298797607421,0.1194727420806884,0.0627777576446533,0.0494366,0.0435613,0.0057076,4.163921356201172,80,100,30,A,49,52
12,0.1944544315338134,0.0983819961547851,0.1203706264495849,0.0480709075927734,0.0467277,0.0457896,0.0084628,3.9850568771362314,86,100,30,A,56,56
13,0.1385841369628906,0.1037976741790771,0.1227529048919677,0.0638563632965087,0.037615,0.0409787,0.0145219,3.8469722270965576,44,100,30,B,52,43
14,0.1213157176971435,0.0705728530883789,0.1154565811157226,0.0504763126373291,0.048039,0.0475939,0.0124005,3.957562208175659,92,100,30,A,52,62
15,0.1308228969573974,0.0821895599365234,0.1165137290954589,0.0498723983764648,0.0331995,0.0355344,0.0135463,3.330169916152954,34,100,30,A,43,44
