Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2073967456817627,0.2011630535125732,0.3286557197570801,0.3312337398529053,6.9528863,6.3277628,0.0,18.419342517852783,1,750,375,B,365,376
2,0.3062131404876709,0.1929690837860107,0.3794198036193847,0.3339877128601074,6.0727835,5.7897827,0.1176155,15.620644569396973,3,750,375,A,388,365
3,0.1883823871612548,0.1564714908599853,0.3319823741912842,0.3314614295959472,5.5298069,5.7356633,0.0,14.7727952003479,1,750,375,B,376,360
4,0.2638721466064453,0.1850976943969726,0.3235857486724853,0.3575849533081054,5.8608438,5.5631318,0.1208209,14.963615655899048,2,750,375,A,383,368
5,0.2363123893737793,0.2204351425170898,0.3160808086395263,0.3326210975646972,5.3330584,6.2406542,0.1286836,15.748210430145264,6,750,375,B,391,360
6,0.2042810916900634,0.1725077629089355,0.3303537368774414,0.3344781398773193,5.2781333,5.7350603,0.0,14.261394500732422,1,750,375,A,360,366
7,0.2092578411102295,0.1730616092681884,0.3318772315979004,0.3346002101898193,5.6706062,6.3771728,0.1333434,15.444713830947876,2,750,375,A,391,409
8,0.1899676322937011,0.1621584892272949,0.283327579498291,0.2831344604492187,4.6366089,4.8048176,0.1104411,15.348415851593018,28,750,375,B,380,379
9,0.3336193561553955,0.20540452003479,0.3157877922058105,0.3137500286102295,4.4096408,4.5318973,0.0,12.35773229598999,1,750,375,B,359,350
10,0.2046873569488525,0.1574821472167968,0.2982637882232666,0.267876386642456,4.6822097,4.5489305,0.1086473,12.390784740447998,3,750,375,A,381,361
11,0.188382863998413,0.1576077938079834,0.2837607860565185,0.2834010124206543,4.2296131,4.9537287,0.1031842,12.3110990524292,3,750,375,B,392,354
12,0.203723669052124,0.17582368850708,0.3481180667877197,0.366126537322998,5.2800142,5.0269886,0.1139994,13.685361862182615,3,750,375,A,356,364
13,0.2295470237731933,0.2351875305175781,0.5123648643493652,0.337266206741333,5.361727,5.0408941,0.1127015,14.154285669326782,2,750,375,A,373,366
14,0.2333991527557373,0.1999914646148681,0.3404748439788818,0.3000233173370361,5.8732451,6.0240132,0.1242523,15.653261184692385,2,750,375,B,384,388
15,0.2975585460662842,0.2434709072113037,0.4309954643249511,0.3833291530609131,6.1063531,5.5706719,0.1291595,16.16582727432251,4,750,375,B,346,388
