Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1865077018737793,0.1356353759765625,0.214679479598999,0.2005198001861572,1.7959675,1.8938843,0.080091,11.75432801246643,43,500,375,A,242,231
2,0.2007138729095459,0.1334242820739746,0.2332029342651367,0.2380445003509521,1.9454125,2.1593972,0.0915015,9.24958872795105,22,500,375,A,245,242
3,0.2002182006835937,0.1529936790466308,0.2333650588989257,0.2290034294128418,2.0975734,1.9579368,0.0832178,15.922659158706663,98,500,375,A,255,254
4,0.2339730262756347,0.1493463516235351,0.2661271095275879,0.2329688072204589,2.0181483,2.1449252,0.0805472,13.80705189704895,80,500,375,B,258,245
5,0.1996641159057617,0.1619482040405273,0.2297132015228271,0.2327938079833984,1.9558686,1.9274214,0.0753317,11.031041622161863,51,500,375,A,244,238
6,0.2119345664978027,0.1487658023834228,0.2170686721801757,0.2498908042907714,1.851819,1.9808585,0.080551,7.316048622131348,4,500,375,A,237,241
7,0.1997730731964111,0.1489009857177734,0.2324957847595214,0.2060458660125732,1.8503152,2.1826173,0.0,7.053357601165772,1,500,375,A,242,268
8,0.2003102302551269,0.1526215076446533,0.2342424392700195,0.2165617942810058,1.8994133,1.8987052,0.0746223,9.432373523712158,31,500,375,B,241,237
9,0.233483076095581,0.134509801864624,0.2186205387115478,0.1999685764312744,1.9503544,2.1125509,0.0818466,7.853110313415527,9,500,375,A,246,258
10,0.2133204936981201,0.1490893363952636,0.2503211498260498,0.2336854934692382,1.9749321,1.9879659,0.0723456,13.64865756034851,80,500,375,B,237,252
11,0.1834144592285156,0.1499063968658447,0.2164843082427978,0.2338654994964599,1.9161314,2.0756157,0.0863386,7.500743627548218,4,500,375,A,239,248
12,0.2204329967498779,0.1495869159698486,0.2320854663848877,0.2322249412536621,1.9565205,2.2611379,0.0838708,9.935658931732178,32,500,375,B,270,239
13,0.1840558052062988,0.1331186294555664,0.2003450393676757,0.2508165836334228,2.0189295,2.0151652,0.0855133,11.666819334030151,60,500,375,A,252,247
14,0.1664092540740966,0.1329586505889892,0.2332203388214111,0.2182776927947998,1.6655393,1.6266946,0.0,6.369782447814941,1,500,375,B,239,250
15,0.1836597919464111,0.1338682174682617,0.2168354988098144,0.2002487182617187,1.5964172,1.7302199,0.067095,11.732749223709106,80,500,375,B,260,237
