Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1577489376068115,0.1160030364990234,0.1808023452758789,0.0943708419799804,0.6071647,0.5925674,0.0447507,4.289159774780273,10,300,150,A,162,160
2,0.1671891212463379,0.129472017288208,0.1863055229187011,0.1265499591827392,0.7165967,0.6042325,0.047622,4.020214319229126,2,300,150,B,159,162
3,0.1585233211517334,0.1106510162353515,0.1567168235778808,0.1099772453308105,0.5552333,0.5552224,0.0472079,4.559795618057251,16,300,150,B,153,146
4,0.1573951244354248,0.1285247802734375,0.1565606594085693,0.0946104526519775,0.6370214,0.5308191,0.0504463,3.80477786064148,3,300,150,B,136,154
5,0.1410331726074218,0.1267318725585937,0.1578505039215088,0.0943894386291503,0.5833428,0.5107547,0.0,3.7347371578216553,1,300,150,B,138,153
6,0.1567840576171875,0.1099846363067627,0.161898136138916,0.0943579673767089,0.5317043,0.5623746,0.0435494,3.733778715133667,2,300,150,A,148,154
7,0.157456636428833,0.1103143692016601,0.1574888229370117,0.110114574432373,0.5363876,0.4884858,0.046906,3.659818410873413,2,300,150,B,128,140
8,0.1726117134094238,0.0944108963012695,0.1571722030639648,0.1105983257293701,0.5491963,0.522891,0.0,3.61674690246582,1,300,150,A,149,143
9,0.1412599086761474,0.0943999290466308,0.1412947177886963,0.0943901538848877,0.5469443,0.6174259,0.0428601,3.8898422718048096,4,300,150,A,143,163
10,0.1569292545318603,0.1261801719665527,0.1418397426605224,0.1100146770477294,0.5719891,0.5104643,0.0515963,3.885012865066528,5,300,150,A,145,138
11,0.178934097290039,0.1094367504119873,0.1505358219146728,0.109954833984375,0.4911381,0.5049176,0.0,3.6595778465271,1,300,150,B,144,129
12,0.1797666549682617,0.0944910049438476,0.1740541458129882,0.0979588031768798,0.5728825,0.5593851,0.0511441,4.784403562545776,24,300,150,B,149,155
13,0.1569831371307373,0.1137080192565918,0.1559536457061767,0.1287393569946289,0.5955024,0.5184968,0.0,3.7136754989624015,1,300,150,A,154,140
14,0.141193151473999,0.1101462841033935,0.1506669521331787,0.1413836479187011,0.5192024,0.5852126,0.0,3.801553249359131,1,300,150,B,151,144
15,0.1570615768432617,0.1068243980407714,0.1832983493804931,0.1091530323028564,0.5934694,0.518064,0.0,3.7748658657073975,1,300,150,A,159,141
