Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1804149150848388,0.114391803741455,0.1667609214782714,0.0847315788269043,0.3292005,0.3201112,0.0231852,8.986154794692993,175,300,30,B,148,164
2,0.1664071083068847,0.1182365417480468,0.1987307071685791,0.099778413772583,0.3227292,0.3498167,0.0192397,9.66619110107422,216,300,30,A,152,156
3,0.2105827331542968,0.117302656173706,0.2193808555603027,0.1073400974273681,0.5673111,0.3272537,0.0325778,7.935969114303589,117,300,30,B,144,151
4,0.1676957607269287,0.1036162376403808,0.2864677906036377,0.1299827098846435,0.5593167,0.3181941,0.0286051,8.194067478179932,152,300,30,A,160,154
5,0.1692831516265869,0.0987918376922607,0.1646125316619873,0.1031088829040527,0.3055848,0.2861522,0.0203308,7.694126129150391,156,300,30,A,137,139
6,0.1539695262908935,0.0963568687438964,0.1474692821502685,0.0948400497436523,0.269514,0.2942198,0.0268005,7.091779947280884,118,300,30,B,149,144
7,0.1827321052551269,0.1165003776550293,0.166264533996582,0.0837314128875732,0.3163429,0.3412922,0.0329814,6.694815158843994,89,300,30,A,145,147
8,0.2174282073974609,0.1163797378540039,0.183506965637207,0.0997827053070068,0.3744958,0.4172939,0.0205999,10.35270643234253,188,300,30,B,170,158
9,0.2026903629302978,0.1277215480804443,0.2156715393066406,0.0996487140655517,0.3759675,0.3305714,0.0203902,10.094360828399658,212,300,30,B,148,158
10,0.1394953727722168,0.1062731742858886,0.1664643287658691,0.0816884040832519,0.334317,0.2527149,0.0391284,6.00739336013794,88,300,30,A,158,140
11,0.1346945762634277,0.0954878330230712,0.1594436168670654,0.0785543918609619,0.2805673,0.2610349,0.0263145,6.663126707077026,100,300,30,A,154,141
12,0.1571991443634033,0.1226186752319336,0.1575140953063964,0.0899791717529296,0.3169194,0.2948305,0.0345297,5.877028703689575,71,300,30,A,155,128
13,0.1649720668792724,0.1034128665924072,0.1682448387145996,0.0948038101196289,0.3037353,0.3728011,0.028411,7.149657964706421,126,300,30,B,139,139
14,0.14772629737854,0.1108851432800293,0.1578457355499267,0.0951790809631347,0.3287443,0.2591503,0.0195819,7.855175971984863,166,300,30,B,134,146
15,0.1574282646179199,0.1102411746978759,0.1578648090362548,0.0943996906280517,0.3469363,0.3549234,0.0403203,7.381316661834717,128,300,30,A,151,165
