Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.0951695442199707,0.0582320690155029,0.0783417224884033,0.0314080715179443,0.0031328,0.0026924,0.0016125,2.0801103115081787,7,50,5,B,26,24
2,0.1031606197357177,0.0630533695220947,0.0775551795959472,0.031886339187622,0.0035845,0.0042441,0.0019722,2.1782846450805664,4,50,5,B,27,23
3,0.1112289428710937,0.0796544551849365,0.0807960033416748,0.0472722053527832,0.0030292,0.0032315,0.0019379,2.085657119750977,2,50,5,B,23,25
4,0.1098465919494628,0.0630319118499755,0.0787136554718017,0.0468778610229492,0.0035564,0.0032859,0.0026229,2.131857395172119,6,50,5,A,28,25
5,0.1080095767974853,0.0633578300476074,0.0790629386901855,0.0311770439147949,0.0029354,0.0059143,0.0032118,2.1011457443237305,3,50,5,A,15,26
6,0.1072402000427246,0.062209129333496,0.0782749652862548,0.0316908359527587,0.0039197,0.0037455,0.0039233,2.1345317363739014,2,50,5,B,30,24
7,0.1114952564239502,0.0629527568817138,0.0810761451721191,0.0313584804534912,0.0056333,0.0042884,0.0023391,2.1637322902679443,10,50,5,B,26,24
8,0.1099724769592285,0.0628345012664794,0.0628983974456787,0.0370416641235351,0.0023036,0.0031553,0.0018431,2.210880994796753,10,50,5,A,16,26
9,0.1235980987548828,0.062894582748413,0.0787644386291503,0.0469486713409423,0.0031491,0.0048701,0.0018986,2.1176979541778564,6,50,5,B,32,24
10,0.1100780963897705,0.0631544589996337,0.075305700302124,0.0311591625213623,0.0032047,0.0034282,0.002044,2.1329169273376465,6,50,5,B,31,25
11,0.1123523712158203,0.062692642211914,0.0783326625823974,0.0467884540557861,0.0052197,0.0029125,0.0018083,2.1989636421203613,4,50,5,B,23,22
12,0.0947928428649902,0.1343979835510254,0.1254973411560058,0.0484287738800048,0.0043229,0.0044256,0.0024295,2.324368715286255,4,50,5,A,29,26
13,0.1095428466796875,0.063852310180664,0.0795044898986816,0.0317275524139404,0.0063412,0.0074465,0.0031757,2.1474173069000244,2,50,5,B,30,34
14,0.1083209514617919,0.0630109310150146,0.061847448348999,0.0313577651977539,0.005379,0.0032619,0.0021574,2.1653122901916504,2,50,5,A,29,28
15,0.1262414455413818,0.0628337860107421,0.0766694545745849,0.043851613998413,0.003441,0.0032807,0.0022296,2.1957309246063232,4,50,5,A,26,27
