Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1426582336425781,0.1104140281677246,0.1721029281616211,0.1252336502075195,0.5144478,0.4401022,0.0380506,6.244089365005493,74,300,300,B,136,150
2,0.2367253303527832,0.1321272850036621,0.1906852722167968,0.1587200164794922,0.5595673,0.5934259,0.0652191,7.151236772537232,52,300,300,B,163,150
3,0.1637139320373535,0.1001806259155273,0.1607542037963867,0.13362717628479,0.6315942,0.610705,0.055765,7.698065996170044,77,300,300,A,146,153
4,0.218005895614624,0.1167292594909668,0.2016966342926025,0.1558012962341308,0.6035727,0.5786138,0.0480088,10.899643182754517,122,300,300,A,150,151
5,0.1640522480010986,0.1301777362823486,0.2168097496032714,0.1334900856018066,0.5613873,0.5924162,0.0460434,6.706256151199341,44,300,300,B,151,142
6,0.1707925796508789,0.1148312091827392,0.1825752258300781,0.1334602832794189,0.6173471,0.6324504,0.0484824,7.070042610168457,57,300,300,A,150,155
7,0.1832756996154785,0.1165754795074462,0.1994483470916748,0.1497950553894043,0.5227942,0.585983,0.0489097,9.448030710220335,106,300,300,B,148,134
8,0.166048526763916,0.1336722373962402,0.166475772857666,0.1324961185455322,0.5535145,0.5646671,0.0524868,7.667345523834228,72,300,300,B,148,139
9,0.1822857856750488,0.1324844360351562,0.2150659561157226,0.1500687599182129,0.64571,0.6236187,0.0545204,5.853896617889404,28,300,300,A,151,151
10,0.1678192615509033,0.1157567501068115,0.1991286277770996,0.1309466361999511,0.523423,0.6291793,0.0469805,9.605010747909546,109,300,300,A,127,162
11,0.2179100513458252,0.1258599758148193,0.1832485198974609,0.1491520404815673,0.5441128,0.5093838,0.0507298,8.539865970611572,90,300,300,B,136,149
12,0.1787281036376953,0.1166772842407226,0.1610679626464843,0.130641222000122,0.6301043,0.5585621,0.0459786,10.183689832687378,125,300,300,B,144,162
13,0.1689484119415283,0.1167488098144531,0.1663789749145507,0.1346509456634521,0.5585167,0.608571,0.0478849,8.082096576690674,79,300,300,A,144,161
14,0.1661868095397949,0.1177716255187988,0.1666033267974853,0.131995677947998,0.6495901,0.5379084,0.0509313,12.732629537582396,177,300,300,A,162,146
15,0.1663970947265625,0.1104130744934082,0.183985948562622,0.1295588016510009,0.5700589,0.5084973,0.0545522,5.866895914077759,39,300,300,B,131,144
