Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.2588186264038086,0.2752056121826172,0.4676401615142822,0.5628821849822998,22.2177527,31.7678801,0.4474648,58.95353102684021,2,1000,500,B,490,491
2,0.2645752429962158,0.1860296726226806,0.3860061168670654,0.4506230354309082,22.7335828,32.0218667,0.4943795,59.42353630065918,3,1000,500,A,474,493
3,0.2327747344970703,0.184889554977417,0.3637192249298095,0.4439442157745361,14.9719169,11.0991262,0.142153,29.72072744369507,3,1000,500,A,487,521
4,0.2444822788238525,0.2565863132476806,0.3951330184936523,0.487438440322876,10.8797023,12.2394484,0.1559498,27.38143825531006,5,1000,500,B,519,475
5,0.3128960132598877,0.234081745147705,0.4181020259857178,0.564366340637207,12.4733338,12.3245582,0.1716852,29.519226551055908,4,1000,500,A,518,499
6,0.2485206127166748,0.2409150600433349,0.4175343513488769,0.5782101154327393,12.882309,12.472325,0.1257963,30.1348876953125,5,1000,500,A,473,505
7,0.2731852531433105,0.3661367893218994,0.5339956283569336,0.5426537990570068,12.9693241,11.9937463,0.0,29.251319646835327,1,1000,500,B,498,517
8,0.290212869644165,0.2269754409790039,0.3724143505096435,0.531965970993042,12.2386479,12.1738809,0.153435,30.009154558181763,11,1000,500,A,508,508
9,0.2648694515228271,0.2486248016357422,0.4180221557617187,0.5127162933349609,11.3854015,11.1398759,0.1574677,28.99021053314209,16,1000,500,B,467,470
10,0.2653810977935791,0.2422323226928711,0.3683116436004638,0.4974949359893799,11.6776036,11.436449,0.1815868,38.131242990493774,69,1000,500,A,489,481
11,0.2802426815032959,0.2244429588317871,0.4338347911834717,0.5446064472198486,12.8980594,12.6467164,0.0,29.40555000305176,1,1000,500,B,497,500
12,0.3381667137145996,0.2322194576263427,0.4519863128662109,0.5550253391265869,12.5177446,12.5097949,0.1622323,30.582163333892822,10,1000,500,A,509,504
13,0.2743313312530517,0.2490644454956054,0.4143476486206054,0.5467846393585205,12.6351426,12.4469485,0.1625552,29.714298248291016,5,1000,500,B,502,508
14,0.2735192775726318,0.263530969619751,0.4673998355865478,0.5635197162628174,11.5489008,12.8798116,0.1897389,30.098642110824585,9,1000,500,A,472,516
15,0.3062682151794433,0.2846529483795166,0.4940447807312011,0.528266429901123,13.0970556,12.7358416,0.1937189,30.496108770370483,4,1000,500,B,510,527
