Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1462299823760986,0.0832812786102294,0.101398229598999,0.0504581928253173,0.0096269,0.0094851,0.0037837,2.8828532695770264,27,50,25,B,22,25
2,0.1165106296539306,0.0656664371490478,0.0841667652130127,0.0335712432861328,0.0083891,0.0089655,0.0064355,2.46626877784729,2,50,25,B,17,18
3,0.1192665100097656,0.0666706562042236,0.0840992927551269,0.0333237648010253,0.0092625,0.0083872,0.0069664,2.58306622505188,2,50,25,B,25,23
4,0.1171052455902099,0.0663363933563232,0.0836164951324462,0.0498936176300048,0.0109324,0.0134703,0.0074947,2.49997615814209,5,50,25,A,27,34
5,0.1179499626159668,0.0658507347106933,0.0815389156341552,0.0299358367919921,0.0132665,0.0090786,0.0062112,2.46584415435791,4,50,25,A,28,24
6,0.1498465538024902,0.0679428577423095,0.1958932876586914,0.0688214302062988,0.0138605,0.0115871,0.0,2.6820507049560547,1,50,25,A,29,27
7,0.1330423355102539,0.0667054653167724,0.0956363677978515,0.0324323177337646,0.0107167,0.0108573,0.0087742,2.5657312870025635,2,50,25,A,28,29
8,0.1168229579925537,0.0828373432159423,0.0839788913726806,0.0497829914093017,0.0083801,0.0096409,0.0081844,2.600649356842041,2,50,25,A,19,22
9,0.1169755458831787,0.0664377212524414,0.0824267864227294,0.0332725048065185,0.0087996,0.0109068,0.0,2.5325634479522705,1,50,25,A,21,30
10,0.1165375709533691,0.0665607452392578,0.0834691524505615,0.0332729816436767,0.0126691,0.0088125,0.0066905,2.4173500537872314,2,50,25,A,27,23
11,0.1168529987335205,0.0620934963226318,0.0837528705596923,0.0536129474639892,0.0129891,0.011546,0.0069475,2.4663448333740234,3,50,25,B,26,29
12,0.1828377246856689,0.0797483921051025,0.1018970012664794,0.0467522144317626,0.0129239,0.0099399,0.0092202,2.752882480621338,2,50,25,A,27,25
13,0.1166746616363525,0.0680570602416992,0.0831167697906494,0.0330090522766113,0.0116269,0.007941,0.0085037,2.585409164428711,3,50,25,B,21,23
14,0.1187818050384521,0.0666217803955078,0.0670919418334961,0.0342152118682861,0.01268,0.0073813,0.0,2.397756338119507,1,50,25,B,19,27
15,0.116248607635498,0.066962718963623,0.082731008529663,0.0358338356018066,0.0142224,0.0137059,0.0102895,2.4497923851013184,2,50,25,B,29,30
