Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1635084152221679,0.0834074020385742,0.1505024433135986,0.0670874118804931,0.1075089,0.1359139,0.0170756,3.849212169647217,30,200,20,B,112,105
2,0.2039976119995117,0.121227741241455,0.1533114910125732,0.0671734809875488,0.1532573,0.1495674,0.0209126,3.433922529220581,6,200,20,A,104,107
3,0.1499993801116943,0.1157393455505371,0.1501238346099853,0.0841522216796875,0.1365273,0.1073755,0.0136905,4.349544763565064,78,200,20,B,100,93
4,0.1496045589447021,0.0993902683258056,0.1524763107299804,0.0664911270141601,0.1170013,0.1510078,0.0203852,3.3995935916900635,20,200,20,B,120,106
5,0.14884614944458,0.0997190475463867,0.1333088874816894,0.066735029220581,0.1011996,0.0998635,0.0128422,4.316984176635742,88,200,20,A,100,95
6,0.1503291130065918,0.0829095840454101,0.1333203315734863,0.0624198913574218,0.1133305,0.113065,0.0158463,4.433728694915772,90,200,20,B,106,93
7,0.1543667316436767,0.0998709201812744,0.1498463153839111,0.0828082561492919,0.1195495,0.1379387,0.0131922,5.866247177124023,156,200,20,B,103,104
8,0.1665778160095214,0.0991952419281005,0.1498396396636963,0.0828316211700439,0.1291621,0.122036,0.0187793,4.1722633838653564,56,200,20,A,101,110
9,0.2634899616241455,0.1189494132995605,0.1487841606140136,0.0795304775238037,0.1036783,0.1100614,0.0210242,4.349531650543213,60,200,20,B,106,97
10,0.170011281967163,0.1009690761566162,0.1691453456878662,0.0665485858917236,0.1011339,0.1142173,0.0164318,4.3672943115234375,88,200,20,B,94,100
11,0.2005388736724853,0.0995135307312011,0.2692155838012695,0.1150741577148437,0.1997035,0.2245933,0.0193771,6.632681608200073,90,200,20,B,109,100
12,0.1670842170715332,0.0989744663238525,0.1494562625885009,0.0650985240936279,0.1234031,0.1269305,0.109728,4.171103000640869,33,200,20,B,103,104
13,0.1838939189910888,0.1000103950500488,0.1326801776885986,0.0671033859252929,0.1106475,0.1451166,0.0195135,3.846778392791748,32,200,20,A,94,105
14,0.1500463485717773,0.1164047718048095,0.1495511531829834,0.0797853469848632,0.1347223,0.1259968,0.0223376,4.985863447189331,53,200,20,B,104,110
15,0.1712892055511474,0.0975847244262695,0.1510319709777832,0.082688570022583,0.1464606,0.1211984,0.0174605,3.647212028503418,20,200,20,A,99,98
